model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
outback	2008	102000	missoula	7000	10689.438724341824	7276.251040221914	8988.436650726306	7574.452145214522	6325
legacy	2008	158000	minneapolis	6500	7689.107390865025	4789.687074829932	5040.998689613354	6418.04289544236	5800
impreza	2012	69999	minneapolis	10500	10408.125086573153	11567.134146341463	9353.85313237586	6655.659942363112	9500
outback	2007	159000	minneapolis	6495	7588.028806174303	4789.687074829932	5165.586686054037	7574.452145214522	5495
legacy	1997	165245	minneapolis	1200	-1991.201126358013	2417.3728222996515	1493.5018240144354	6418.04289544236	1500
legacy	2003	126000	atlanta	3400	3059.2555471504315	7276.251040221914	3370.558535268674	6418.04289544236	2500
outback	2007	170000	missoula	7200	9582.254192539891	4789.687074829932	5681.932852269036	7574.452145214522	5495
legacy-outback	2004	153980	atlanta	2700	4989.28917459546	4789.687074829932	4342.674135169605	3175.4347826086955	4500
wrx	2006	129500	atlanta	7000	9921.496733868935	7276.251040221914	8790.703331709876	12931.025862068966	8500
outback	2002	175120	minneapolis	800	3153.730423005958	2417.3728222996515	2371.966179245852	7574.452145214522	2500
wrx	2002	190000	minneapolis	4500	6577.135486057365	2417.3728222996515	4799.538979274432	12931.025862068966	5500
forester	2003	162201	atlanta	2495	2748.838511066015	2417.3728222996515	3045.009126450821	6524.113964686999	2900
legacy	2003	126000	atlanta	3400	3059.2555471504315	7276.251040221914	3370.558535268674	6418.04289544236	2500
forester-xt	2009	113400	minneapolis	9900	10507.024192070961	7276.251040221914	9679.34630260264	9804.4	9900
wrx	2009	50000	atlanta	16979	12982.46859987419	7276.251040221914	15189.845377430713	12931.025862068966	14100
wrx	2007	191000	minneapolis	8975	10965.785490955097	4789.687074829932	8258.84418983049	12931.025862068966	9749.5
forester	2010	164800	minneapolis	6900	9229.418427790648	4789.687074829932	7021.913342564289	6524.113964686999	7100
brz	2013	36600	atlanta	16500	15160.247474326872	18539.40404040404	16340.394616941201	16082.274725274725	15950
wrx	2015	44000	atlanta	19500	18308.89776349946	18539.40404040404	21241.48407307163	12931.025862068966	21000
